Hotel Name,Price,Rating
Hotel Silver Cloud,3374,4.2 
Fortune Park Ahmedabad -Member ITC Hotel Group,2469,4.6 
Ginger Ahmedabad (SG Road),2356,3.8 
"Pride Plaza Hotel, Ahmedabad",3099,4.2 
Ginger Ahmedabad Vastrapur,1317,3.9 
DoubleTree by Hilton Ahmedabad,2969,4.6 
Holiday Inn Express AHMEDABAD PRAHLAD NAGAR,1819,4.2 
The Fern An Ecotel Hotel Ahmedabad,2914,4.4 
Lemon Tree Hotel Ahmedabad,3079,4.1 
Hyatt Ahmedabad,4521,4.4 
Hotel Carrefour,1465,4.5 
Ginger Ahmedabad (Satellite),1970,3.8 
Renaissance Ahmedabad Hotel,2619,4.7 
Tribecca Select,1384,4.3 
Hotel Ashish,793,4.2 
Hyatt Regency,4675,4.4 
Lemon Tree Premier The Atrium,2026,4.4 
Hotel Maruti Ahmedabad,959,4.3 
Hotel Pinnacle,1224,4 
Hotel Platinum Inn,1495,4.5 
SN Blu Hotel,2181,4.4 
Four Points by Sheraton Ahmedabad,4365,4.4 
 , , 
**************************************************,BENGALURU,********
 , , 
Vividus,2621,4.4 
Lemon Tree Hotel Whitefield,1530,4.1 
Holiday Inn Express Bengaluru Yeshwantpur,1729,4 
Lemon Tree Premier Ulsoor Lake Bangalore,2026,4.3 
The Chancery,1688,4.2 
"Vivanta Bengaluru, Whitefield",2800,4.5 
Radisson Blu Atria Bengaluru,2516,4.4 
The Park Bangalore,2813,4.1 
"Howard Johnson by Wyndham, Hebbal",3524,4.3 
Nash Inn Electronic City,828,3.7 
YC Grand By Omatra,1320,4.4 
Radisson Bengaluru City Center,2969,4.6 
The Chancery Pavilion,2220,4.1 
Ibis Bengaluru City Centre,1949,4.1 
REGENTA PLACE BY ROYAL ORCHID HOTELS,1796,4 
"ITC Gardenia, A Luxury Collection Hotel",4500,4.7 
The Signature Inn,857,4.1 
Ramada Encore,1884,4.5 
Hyatt Centric MG Road Bangalore,3176,4.5 
Halcyon Bangalore,1938,3.8 
Hotel Aira,1123,4.2 
OYO 40271 Elegant Stays,1222,4 
Fortune Park JP Celestial-Member ITC Hotel Group,2060,4.3 
"ITC Windsor,A Luxury Collection Hotel",3835,4.4 
TS Royal Grand - Attibele Hosur,1290,4.4 
"The Fern Residency - Yeshwanthpur, Bengaluru",2107,4.1 
Conrad Bengaluru- Luxury by Hilton,4399,4.6 
Starlit Suites,2443,4.3 
Holiday Inn Express Bengaluru Whitefield ITPL,1639,4.1 
Welcomhotel Bengaluru - Member ITCHotel Group,2100,4.5 
 , , 
**************************************************,KOLKATA,********
 , , 
The Elite,455,4.6 
Hotel Crestwood,1518,3.8 
Holiday Inn Kolkata Airport,3540,4.3 
Park Palace Hotel,1006,3.9 
Hyatt Regency Kolkata,9351,4.4 
Ethnotel,2098,4.2 
"Lemon Tree Premier, New Town, Kolkata",2006,4.1 
Viceroy Kolkata (Boutique Hotel),2341,4.1 
The Park Kolkata,5432,4 
Vivanta Kolkata EM Bypass,3350,4.6 
Georgian Inn,952,3.6 
The Fern Residency Kolkata,4244,4.1 
Gallery 67,3040,4.4 
Hotel Niharika,2270,4.3 
SIAMTON INN,2462,4 
Pipal Tree Hotel,3326,4.2 
AIRPORT CITY HOTEL,2768,4 
Himalayan Inn- Welcome Inn,690,3.8 
All Fresco Hotel,2195,3.9 
The Senator,2392,4.3 
Sterling Residency,786,2.7 
Calcutta Bungalow,4071,4.4 
Fairfield by Marriott Kolkata,2550,4.3 
The Samilton,2496,4.3 
THE MAUREEN KOLKATA,2068,4.2 
"Zone By The Park, Kolkata",2129,4.1 
Dee Empresa Hotel,1518,3.9 
JW Marriott Hotel Kolkata,6305,4.6 
Park Prime Kolkata,2533,4.1 
Regenta Orko's Kolkata,4270,4.1 
 , , 
**************************************************,PUNE,********
 , , 
Ginger Pune Wakad,1983,4 
"Lemon Tree Premier, City Center Pune",2779,4.4 
Royal Orchid Golden Suite Pune,1748,4.3 
Four Points By Sheraton Hotel And Serviced Apartments,3399,4.3 
"Novotel Pune, Nagar Road",3324,4.2 
Ibis Pune Hinjewadi,1350,4 
Royal Orchid Central,2074,4.2 
Ginger Pune (Pimpri),1661,4 
"The Orchid Hotel, Hinjewadi, Pune",2999,4.1 
Hotel Parc Estique,1906,4.3 
Lemon Tree Hotel Hinjawadi,1556,4.1 
Oakwood Residence Naylor Road Pune,4750,4.3 
Holiday Inn Express Pune Hinjewadi,1698,4.1 
"Lemon Tree Hotel, Viman Nagar, Pune",1965,4.3 
OYO Home 36260 Alluring Stay Hinjewadi,758,4.1 
Fairfield by Marriott Pune Kharadi,1999,4.1 
St Laurn- Koregaon Park,3604,4 
HOTEL ROYAL ENCLAVE,1045,3.7 
"Vivanta Pune, Hinjawadi",4300,4.5 
OYO Home 36257 Elegant Stay Hinjewadi,758,4.2 
"Sorrento homes, apartment and hotels",801,3.5 
Jv Cottage,5588,4.7 
Holiday Inn Express Pune Pimpri,1688,4 
Hotel Celebration Inn Chinchwad,783,3.7 
IBIS Pune Viman Nagar,1700,3.7 
Hyatt Place Pune Hinjawadi,2850,4.3 
Pride Hotel Pune,2899,4 
Conrad Pune- Luxury by Hilton,9266,4.7 
Hotel Nandanvan Annexe,900,4.1 
Hotel Silver Seven,1263,3.9 
 , , 
**************************************************,PUNE,********
 , , 
Ginger Pune Wakad,1983,4 
"Lemon Tree Premier, City Center Pune",2779,4.4 
Royal Orchid Golden Suite Pune,1748,4.3 
Four Points By Sheraton Hotel And Serviced Apartments,3399,4.3 
"Novotel Pune, Nagar Road",3324,4.2 
Ibis Pune Hinjewadi,1350,4 
Royal Orchid Central,2074,4.2 
Ginger Pune (Pimpri),1661,4 
"The Orchid Hotel, Hinjewadi, Pune",2999,4.1 
Hotel Parc Estique,1906,4.3 
Lemon Tree Hotel Hinjawadi,1556,4.1 
Oakwood Residence Naylor Road Pune,4750,4.3 
Holiday Inn Express Pune Hinjewadi,1698,4.1 
"Lemon Tree Hotel, Viman Nagar, Pune",1965,4.3 
OYO Home 36260 Alluring Stay Hinjewadi,758,4.1 
Fairfield by Marriott Pune Kharadi,1999,4.1 
St Laurn- Koregaon Park,3604,4 
HOTEL ROYAL ENCLAVE,1045,3.7 
"Vivanta Pune, Hinjawadi",4300,4.5 
OYO Home 36257 Elegant Stay Hinjewadi,758,4.2 
"Sorrento homes, apartment and hotels",801,3.5 
Jv Cottage,5588,4.7 
Holiday Inn Express Pune Pimpri,1688,4 
Hotel Celebration Inn Chinchwad,783,3.7 
IBIS Pune Viman Nagar,1700,3.7 
Hyatt Place Pune Hinjawadi,2850,4.3 
Pride Hotel Pune,2899,4 
Conrad Pune- Luxury by Hilton,9266,4.7 
Hotel Nandanvan Annexe,900,4.1 
Hotel Silver Seven,1263,3.9 
 , , 
**************************************************,GURGAON,********
 , , 
"Lemon Tree Premier 2, Sec 29 Gurgaon",3643,4.2 
Golden Tulip Suites Gurgaon,5638,4.1 
"Lemon Tree Premier 1, Sec 29 Gurgaon",3397,4.1 
